#,,,,,
# LHS design points generated in Python,,,,,
# The parameters defined in the project are:,,,,,
#           P1 - length P2 - width P3 - thickness P4 - height,,,,,
#,,,,,
# The following header line defines the name of the columns by reference to the parameters.,,,,,
Name,P1,P2,P3,P4,
DP 0,0.036516,0.03133,0.004667,0.02639,
DP 1,0.022524,0.022587,0.004288,0.040318,
DP 2,0.046661,0.037709,0.002519,0.038968,
DP 3,0.021258,0.041179,0.004036,0.034854,
DP 4,0.053584,0.035929,0.004621,0.045806,
DP 5,0.04677,0.039677,0.004767,0.03628,
DP 6,0.041757,0.042131,0.004654,0.045205,
DP 7,0.048683,0.046287,0.004748,0.025174,
DP 8,0.049226,0.036332,0.003984,0.049407,
DP 9,0.036362,0.029949,0.004606,0.047529,
DP 10,0.044716,0.038006,0.004489,0.048231,
DP 11,0.026536,0.0338,0.004459,0.028576,
DP 12,0.042865,0.02565,0.003129,0.021586,
DP 13,0.055826,0.047701,0.002909,0.036077,
DP 14,0.051197,0.02267,0.003161,0.04072,
DP 15,0.034452,0.02426,0.002697,0.026146,
DP 16,0.055327,0.042843,0.0042,0.04961,
DP 17,0.047033,0.039226,0.002663,0.023434,
DP 18,0.040329,0.04313,0.004931,0.020404,
DP 19,0.043757,0.039943,0.00261,0.043938,
DP 20,0.0299,0.045814,0.003842,0.035408,
DP 21,0.038298,0.036307,0.004093,0.040777,
DP 22,0.051947,0.048741,0.004175,0.042355,
DP 23,0.038646,0.042539,0.002502,0.049427,
DP 24,0.048167,0.020618,0.004428,0.024863,
DP 25,0.059682,0.024286,0.004137,0.023139,
DP 26,0.037389,0.033837,0.004519,0.032439,
DP 27,0.023444,0.024969,0.004637,0.036855,
DP 28,0.02725,0.039808,0.00277,0.042177,
DP 29,0.029252,0.042286,0.004585,0.049703,
DP 30,0.029582,0.028702,0.002646,0.027572,
DP 31,0.055768,0.034742,0.00287,0.049892,
DP 32,0.058156,0.046118,0.004402,0.043106,
DP 33,0.045031,0.048436,0.00297,0.044551,
DP 34,0.041381,0.045639,0.003544,0.025514,
DP 35,0.026828,0.040535,0.004647,0.046566,
DP 36,0.032714,0.026784,0.003703,0.028154,
DP 37,0.02752,0.021792,0.003661,0.02521,
DP 38,0.032499,0.042946,0.004132,0.040563,
DP 39,0.056401,0.032598,0.00457,0.031491,
DP 40,0.0548,0.047279,0.003152,0.032206,
DP 41,0.052112,0.038367,0.003282,0.042007,
DP 42,0.028813,0.048588,0.004218,0.022362,
DP 43,0.038241,0.032485,0.00283,0.028447,
DP 44,0.056302,0.043311,0.002825,0.039871,
DP 45,0.02658,0.035245,0.004872,0.035162,
DP 46,0.044562,0.035977,0.003436,0.035376,
DP 47,0.033391,0.025405,0.003345,0.020371,
DP 48,0.037236,0.044006,0.003468,0.025752,
DP 49,0.020156,0.030522,0.002896,0.028817,
DP 50,0.031504,0.044311,0.004022,0.030547,
DP 51,0.051907,0.020578,0.003086,0.021494,
DP 52,0.034293,0.037741,0.003584,0.03867,
DP 53,0.044129,0.045352,0.003958,0.036354,
DP 54,0.057373,0.026375,0.004954,0.040745,
DP 55,0.041228,0.042673,0.004429,0.032105,
DP 56,0.048998,0.040658,0.004368,0.037498,
DP 57,0.044339,0.044169,0.004738,0.034572,
DP 58,0.030162,0.03029,0.00423,0.038696,
DP 59,0.039519,0.020283,0.004345,0.028238,
DP 60,0.028973,0.026145,0.003571,0.043568,
DP 61,0.03965,0.03566,0.00347,0.043227,
DP 62,0.025592,0.049054,0.004843,0.033487,
DP 63,0.058784,0.026095,0.00412,0.049457,
DP 64,0.031779,0.031927,0.003715,0.02698,
DP 65,0.02712,0.031282,0.002942,0.048547,
DP 66,0.040463,0.038994,0.004899,0.042305,
DP 67,0.055673,0.04993,0.004583,0.038442,
DP 68,0.053975,0.024428,0.002699,0.048952,
DP 69,0.022146,0.042086,0.00471,0.044557,
DP 70,0.020596,0.033132,0.004517,0.020853,
DP 71,0.049077,0.037848,0.004804,0.04878,
DP 72,0.023838,0.020996,0.002771,0.047653,
DP 73,0.054118,0.04879,0.004161,0.024659,
DP 74,0.05807,0.029076,0.003276,0.025702,
DP 75,0.040884,0.046064,0.003237,0.049155,
DP 76,0.021984,0.043984,0.004105,0.028392,
DP 77,0.043252,0.048685,0.004476,0.04333,
DP 78,0.038978,0.027056,0.002536,0.03154,
DP 79,0.030741,0.029873,0.003565,0.041622,
DP 80,0.035038,0.022639,0.004686,0.023913,
DP 81,0.054214,0.034702,0.003213,0.045292,
DP 82,0.031649,0.025162,0.004757,0.034372,
DP 83,0.023876,0.020522,0.004494,0.0366,
DP 84,0.042754,0.039009,0.002534,0.028175,
DP 85,0.027396,0.044346,0.004236,0.044945,
DP 86,0.053205,0.037869,0.002937,0.043474,
DP 87,0.022961,0.047514,0.004714,0.039029,
DP 88,0.026227,0.023463,0.003093,0.044913,
DP 89,0.03008,0.044662,0.003306,0.023945,
DP 90,0.025704,0.046961,0.004207,0.029376,
DP 91,0.040384,0.033503,0.004009,0.04046,
DP 92,0.038421,0.039176,0.004541,0.04537,
DP 93,0.059891,0.029265,0.003577,0.033167,
DP 94,0.035083,0.036019,0.004114,0.027389,
DP 95,0.026779,0.044554,0.00486,0.044294,
DP 96,0.030236,0.024,0.003771,0.03976,
DP 97,0.055581,0.035557,0.004027,0.046306,
DP 98,0.052387,0.035321,0.003897,0.049812,
DP 99,0.046261,0.049955,0.003729,0.031709,
DP 100,0.050101,0.047072,0.003001,0.024341,
DP 101,0.053977,0.027521,0.004594,0.047557,
DP 102,0.046386,0.022828,0.003107,0.039943,
DP 103,0.029743,0.044279,0.004578,0.039819,
DP 104,0.055304,0.035042,0.003198,0.047003,
DP 105,0.047694,0.048654,0.003454,0.044757,
DP 106,0.041903,0.045731,0.002925,0.022557,
DP 107,0.025331,0.048248,0.00373,0.04918,
DP 108,0.051968,0.032523,0.002802,0.0262,
DP 109,0.042063,0.022189,0.004498,0.04422,
DP 110,0.031961,0.036719,0.004417,0.029717,
DP 111,0.058608,0.033872,0.004526,0.04691,
DP 112,0.03048,0.024462,0.002641,0.039487,
DP 113,0.050266,0.044201,0.004178,0.044063,
DP 114,0.053794,0.027605,0.004409,0.029047,
DP 115,0.047836,0.034202,0.003609,0.028679,
DP 116,0.032571,0.031355,0.004556,0.030243,
DP 117,0.038752,0.047258,0.003326,0.02957,
DP 118,0.022477,0.020857,0.00447,0.046024,
DP 119,0.022739,0.030669,0.003849,0.040986,
DP 120,0.0232,0.042786,0.003602,0.023127,
DP 121,0.043171,0.027848,0.003685,0.041234,
DP 122,0.056893,0.032084,0.002849,0.024564,
DP 123,0.05666,0.02592,0.003251,0.048878,
DP 124,0.056532,0.048806,0.003591,0.029258,
DP 125,0.044794,0.041556,0.003331,0.030396,
DP 126,0.044482,0.037524,0.00368,0.024281,
DP 127,0.056161,0.042272,0.003974,0.033247,
DP 128,0.024917,0.037508,0.003045,0.026718,
DP 129,0.035526,0.039699,0.003543,0.044696,
DP 130,0.054489,0.022435,0.004551,0.041945,
DP 131,0.055121,0.024332,0.004879,0.046345,
DP 132,0.036562,0.037265,0.003308,0.036734,
DP 133,0.042787,0.037564,0.004991,0.047958,
DP 134,0.028849,0.026684,0.003796,0.04904,
DP 135,0.035955,0.024602,0.004463,0.045414,
DP 136,0.025925,0.02595,0.004071,0.030721,
DP 137,0.049666,0.025295,0.003866,0.031995,
DP 138,0.037509,0.04621,0.003655,0.038061,
DP 139,0.025504,0.023776,0.002625,0.027017,
DP 140,0.045973,0.032267,0.0035,0.026875,
DP 141,0.056798,0.045873,0.003029,0.047136,
DP 142,0.044305,0.021602,0.003976,0.028626,
DP 143,0.03092,0.037042,0.003966,0.025672,
DP 144,0.03228,0.048325,0.003181,0.022816,
DP 145,0.047885,0.03343,0.002868,0.022297,
DP 146,0.052234,0.038254,0.002922,0.040609,
DP 147,0.040865,0.035482,0.004158,0.030019,
DP 148,0.041365,0.034669,0.004968,0.039542,
DP 149,0.059646,0.038461,0.004727,0.034082,
DP 150,0.033357,0.046008,0.003052,0.023699,
DP 151,0.044921,0.037628,0.004293,0.029651,
DP 152,0.041713,0.023123,0.004688,0.047046,
DP 153,0.036093,0.032897,0.003775,0.038906,
DP 154,0.032333,0.022574,0.003606,0.04355,
DP 155,0.059504,0.03688,0.004641,0.033294,
DP 156,0.022208,0.029848,0.002607,0.024997,
DP 157,0.053308,0.021559,0.002954,0.02611,
DP 158,0.043309,0.024953,0.003661,0.049651,
DP 159,0.050866,0.0337,0.004808,0.024418,
DP 160,0.054541,0.044593,0.004724,0.032751,
DP 161,0.053075,0.042591,0.004092,0.031603,
DP 162,0.03413,0.021999,0.004982,0.040107,
DP 163,0.02305,0.03675,0.004038,0.046264,
DP 164,0.036007,0.026507,0.002628,0.043366,
