#,,,,
# Local infill LHS points around the failed GA verification point,,,,
# The parameters defined in the project are:,,,,
#           P1 - length P2 - width P3 - thickness P4 - height,,,,
#,,,,
# The following header line defines the name of the columns by reference to the parameters.,,,,
Name,P1,P2,P3,P4
INFILL 0,0.023368,0.021701,0.003631,0.021193
INFILL 1,0.024472,0.022930,0.003951,0.024098
INFILL 2,0.023862,0.021474,0.003923,0.021591
INFILL 3,0.021007,0.022290,0.003830,0.023324
INFILL 4,0.024634,0.023361,0.003453,0.021433
INFILL 5,0.025173,0.024195,0.004211,0.020699
INFILL 6,0.021266,0.023556,0.004054,0.021115
INFILL 7,0.020854,0.021196,0.004176,0.020232
INFILL 8,0.022002,0.022617,0.003694,0.022882
INFILL 9,0.025961,0.021918,0.003795,0.021874
INFILL 10,0.024069,0.024313,0.003863,0.020155
INFILL 11,0.022450,0.022069,0.004013,0.020610
INFILL 12,0.021595,0.020869,0.003571,0.022248
INFILL 13,0.024864,0.020300,0.004133,0.024324
INFILL 14,0.020162,0.020547,0.003439,0.024024
INFILL 15,0.022799,0.022819,0.004095,0.023653
INFILL 16,0.023110,0.020100,0.003510,0.023082
INFILL 17,0.025691,0.021027,0.003390,0.023508
INFILL 18,0.022144,0.023997,0.003757,0.022412
INFILL 19,0.020512,0.023676,0.003600,0.022524
