# 
# 08/30/2026 16:04:33
# The parameters defined in the project are:
# ,P1 - length [m],P2 - width [m],P3 - thickness [m],P4 - height [m],P5 - Equivalent Stress Maximum [Pa]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5
DP 0,0.02,0.02,0.002,0.02,609363199.70617044
DP 1,0.02289,0.032468,0.003204,0.049191,284300005.94314057
DP 2,0.041562,0.035307,0.002667,0.038964,328474705.33654362
DP 3,0.033949,0.029465,0.004239,0.037722,130964591.35879721
DP 4,0.029742,0.048853,0.004657,0.034032,128711172.92050354
DP 5,0.052978,0.036781,0.004435,0.045311,106831276.2387547
DP 6,0.059697,0.027394,0.002751,0.032332,228076425.22933748
DP 7,0.046889,0.024142,0.003006,0.033787,203072781.08704072
DP 8,0.036738,0.031195,0.002428,0.04551,337488767.27932757
DP 9,0.05107,0.036989,0.004386,0.036743,116485469.96990031
DP 10,0.058348,0.039657,0.003103,0.037199,204162234.66498581
DP 11,0.051425,0.02785,0.004289,0.044506,109688506.28503914
DP 12,0.026867,0.024559,0.004538,0.049014,116115793.86259741
DP 13,0.057727,0.028358,0.002594,0.025098,288503362.75592321
DP 14,0.042885,0.032701,0.004679,0.035666,107702891.8075459
DP 15,0.053816,0.039029,0.003466,0.048466,184846036.19709137
DP 16,0.047333,0.048659,0.004473,0.026071,122251458.22964807
DP 17,0.055746,0.043534,0.002493,0.037009,298590154.94835681
DP 18,0.045588,0.033069,0.003674,0.043577,149150581.89849707
DP 19,0.047659,0.04543,0.003768,0.048116,156671457.46462703
DP 20,0.059083,0.047101,0.003933,0.041065,133276800.05778672
DP 21,0.048934,0.022278,0.003236,0.02235,195684038.48438418
DP 22,0.021991,0.028973,0.004618,0.021661,120329218.88170192
DP 23,0.054335,0.03575,0.002175,0.035391,388914484.61232471
DP 24,0.035022,0.033686,0.002261,0.026711,397866182.80206335
DP 25,0.041855,0.023574,0.003796,0.020611,138732905.2936902
DP 26,0.039637,0.04799,0.003132,0.043109,248399215.08859378
DP 27,0.046488,0.044985,0.002107,0.027418,487266097.27128583
DP 28,0.024761,0.026329,0.003996,0.044839,162844492.60859483
DP 29,0.032278,0.027026,0.004845,0.039543,110828267.13379979
