# ,,,,,
# 08/30/2026 16:56:41,,,,,
# The parameters defined in the project are:,,,,,
# ,P1 - length [m],P2 - width [m],P3 - thickness [m],P4 - height [m],P5 - Equivalent Stress Maximum [Pa]
# ,,,,,
# The following header line defines the name of the columns by reference to the parameters.,,,,,
Name,P1,P2,P3,P4,P5
DP 0,0.02,0.02,0.002,0.02,609363199.70617
DP 1,0.02289,0.032468,0.003204,0.049191,284300005.943141
DP 2,0.041562,0.035307,0.002667,0.038964,328474705.336544
DP 3,0.033949,0.029465,0.004239,0.037722,130964591.358797
DP 4,0.029742,0.048853,0.004657,0.034032,128711172.920504
DP 5,0.052978,0.036781,0.004435,0.045311,106831276.238755
DP 6,0.059697,0.027394,0.002751,0.032332,228076425.229337
DP 7,0.046889,0.024142,0.003006,0.033787,203072781.087041
DP 8,0.036738,0.031195,0.002428,0.04551,337488767.279328
DP 9,0.05107,0.036989,0.004386,0.036743,116485469.9699
DP 10,0.058348,0.039657,0.003103,0.037199,204162234.664986
DP 11,0.051425,0.02785,0.004289,0.044506,109688506.285039
DP 12,0.026867,0.024559,0.004538,0.049014,116115793.862597
DP 13,0.057727,0.028358,0.002594,0.025098,288503362.755923
DP 14,0.042885,0.032701,0.004679,0.035666,107702891.807546
DP 15,0.053816,0.039029,0.003466,0.048466,184846036.197091
DP 16,0.047333,0.048659,0.004473,0.026071,122251458.229648
DP 17,0.055746,0.043534,0.002493,0.037009,298590154.948357
DP 18,0.045588,0.033069,0.003674,0.043577,149150581.898497
DP 19,0.047659,0.04543,0.003768,0.048116,156671457.464627
DP 20,0.059083,0.047101,0.003933,0.041065,133276800.057787
DP 21,0.048934,0.022278,0.003236,0.02235,195684038.484384
DP 22,0.021991,0.028973,0.004618,0.021661,120329218.881702
DP 23,0.054335,0.03575,0.002175,0.035391,388914484.612325
DP 24,0.035022,0.033686,0.002261,0.026711,397866182.802063
DP 25,0.041855,0.023574,0.003796,0.020611,138732905.29369
DP 26,0.039637,0.04799,0.003132,0.043109,248399215.088594
DP 27,0.046488,0.044985,0.002107,0.027418,487266097.271286
DP 28,0.024761,0.026329,0.003996,0.044839,162844492.608595
DP 29,0.032278,0.027026,0.004845,0.039543,110828267.1338
DP 30,0.040497,0.022784,0.002317,0.047112,320674280.831318
DP 31,0.020966,0.034205,0.003527,0.030675,234083763.634019
DP 32,0.055183,0.045652,0.00328,0.038557,184164529.865393
DP 33,0.057559,0.036024,0.004125,0.020322,133449143.63239
DP 34,0.051768,0.025896,0.003872,0.040693,126472246.463329
DP 35,0.037617,0.031555,0.004917,0.029275,92412040.4913626
DP 36,0.024205,0.039353,0.003622,0.038128,240756534.147475
DP 37,0.035811,0.04302,0.00214,0.042644,485364593.159032
DP 38,0.038624,0.043394,0.004945,0.046431,107813613.497164
DP 39,0.034744,0.046534,0.003587,0.028498,192220240.154196
DP 40,0.041088,0.040202,0.003418,0.049769,197746134.744176
DP 41,0.056757,0.049125,0.003373,0.048789,202752378.48482
DP 42,0.030178,0.020489,0.003595,0.032058,204929835.76333
DP 43,0.035473,0.044014,0.002741,0.030345,330820624.928953
DP 44,0.025498,0.025119,0.002805,0.030187,280497862.264244
DP 45,0.037426,0.029902,0.004133,0.027575,134643234.304493
DP 46,0.045644,0.031732,0.002824,0.041805,237165121.843595
DP 47,0.028891,0.029102,0.004029,0.031972,157886409.493631
DP 48,0.022501,0.046321,0.004042,0.040928,206432016.396775
DP 49,0.020751,0.042551,0.003555,0.022946,236785390.656448
DP 50,0.04456,0.044638,0.002864,0.022007,256301076.297848
DP 51,0.039289,0.024208,0.003155,0.042157,198851136.840609
DP 52,0.054794,0.046931,0.002716,0.026397,297100151.029379
DP 53,0.038351,0.049848,0.003689,0.024626,189933877.596392
DP 54,0.03432,0.036259,0.004859,0.040178,104594693.757378
DP 55,0.021548,0.028663,0.003832,0.046881,181949933.37139
DP 56,0.05348,0.032153,0.00333,0.044013,166706860.572445
DP 57,0.027885,0.037423,0.002539,0.033333,382464535.590643
DP 58,0.052546,0.046068,0.004276,0.035174,128043702.464451
DP 59,0.048414,0.047721,0.002452,0.038659,342508544.101727
DP 60,0.032613,0.021565,0.002389,0.021467,366266709.563393
